block,term,n,bU,pU,bC,pC,wald
1_original_full,4-Week,51,-1.1412160154835913,0.011633889074286849,0.44162930003347334,0.04793058539356303,0.0015319431171247882
1_original_full,8-Week,51,-1.5430586161676576,0.015589049934137983,0.1310110209604654,0.5161828271590113,0.006623690921385405
1_original_full,13-Week,51,-1.469588081333554,0.0004014719237607093,0.3620160448237672,0.05618545001963468,3.8409537613053526e-05
1_original_full,26-Week,51,-1.682830366382671,6.407732955546572e-05,-0.01839998964976114,0.9216667719397742,0.000201491549315899
3B_offering,4-Week,51,-0.605675494812284,0.28278294827146455,0.6063954378150602,0.002260657916367927,0.025818202333708906
3B_offering,8-Week,51,-1.3329672865750133,0.009793260040501192,0.4749208457409344,0.04038716899197142,0.00021273485964065127
3B_offering,13-Week,51,-1.514719349279651,0.00240394526714938,0.3242751751012163,0.0991119973305073,0.0001709807460290978
3B_offering,26-Week,51,-1.5349133363201326,0.0003466448605115319,-0.09150250048494812,0.5875392953868763,0.0006852064449476545
3C_no_interp,4-Week,51,-1.2432817119169952,0.002142040361508766,0.4954589610178467,0.046247916860894425,3.701201225348064e-05
3C_no_interp,8-Week,51,-1.8650547994447484,0.0017151758966611078,0.35172540896849047,0.13777404394316525,9.081578919421595e-05
3C_no_interp,13-Week,51,-1.4571228507728469,0.0014302388409781306,0.38873966972771834,0.07383186397350676,0.0001243032356627522
3C_no_interp,26-Week,51,-1.6228370097930904,0.0001998206816959138,-0.05777875842135616,0.7708597195169786,0.0007272997420034735
3A_freq,4-Week,51,-0.605675494812284,0.28278294827146455,0.6063954378150602,0.002260657916367927,0.025818202333708906
3A_freq,8-Week,51,-1.3329672865750133,0.009793260040501192,0.4749208457409344,0.04038716899197142,0.00021273485964065127
3A_freq,13-Week,51,-1.514719349279651,0.00240394526714938,0.3242751751012163,0.0991119973305073,0.0001709807460290978
3A_freq,26-Week,51,-1.5349133363201326,0.0003466448605115319,-0.09150250048494812,0.5875392953868763,0.0006852064449476545
4i_clean_off,4-Week,51,-0.605675494812284,0.28278294827146455,0.6063954378150602,0.002260657916367927,0.025818202333708906
4i_clean_off,8-Week,51,-1.3329672865750133,0.009793260040501192,0.4749208457409344,0.04038716899197142,0.00021273485964065127
4i_clean_off,13-Week,51,-1.514719349279651,0.00240394526714938,0.3242751751012163,0.0991119973305073,0.0001709807460290978
4i_clean_off,26-Week,51,-1.5349133363201326,0.0003466448605115319,-0.09150250048494812,0.5875392953868763,0.0006852064449476545
4ii_pre2023,4-Week,12,-1.1254461478994155,0.37455120978455014,-0.04681944198400989,0.9297395762281567,0.3259147874691827
4ii_pre2023,8-Week,12,-4.798927143369314,0.04151839546266816,-1.5550994684159405,0.08556450305252511,0.16544197479578013
4ii_pre2023,13-Week,12,-1.0145462058029793,0.06653185858774532,0.07407333576509367,0.8647291769546384,0.09500004687514581
4ii_pre2023,26-Week,12,-4.867649227582151,0.0006474341577585686,-2.116852804668929,0.00018356590515155485,0.08702449536667234
4ii_post2023,4-Week,39,-1.528339258044257,0.0027579938052528907,-0.10145807725868805,0.5348091957560086,0.016957204303080745
4ii_post2023,8-Week,39,-0.8880336620155482,0.2966435886588228,-0.15710869512777925,0.4375476522974485,0.34242904191602486
4ii_post2023,13-Week,39,-1.097709869162859,0.10674654652722643,0.43564276962336845,0.03947368898671173,0.01554942267896171
4ii_post2023,26-Week,39,-2.052664951356494,5.158524775215543e-06,-0.10113311771108069,0.5901178461097506,4.846731339705057e-05
