spec,n,beta_USDT,p_USDT,sig_USDT,beta_USDC,p_USDC,sig_USDC,wald_USDT_eq_USDC_p,r2
(1) supply only,1094,0.30659366017718237,0.49756350405847805,,1.4233143388751766,1.565929744501123e-09,***,0.08818780445072268,0.1256238226803108
(2) + ln(offering),1094,0.11277007528117722,0.8321236974581467,,1.084537405115222,7.148567158784507e-05,***,0.18105771171265386,0.37497430184765
(3) + maturity FE,1094,0.11400883680059626,0.8298632875654619,,1.0881689854998418,6.299603719715706e-05,***,0.1790162256686528,0.387075973784459
(4) + VIX,1094,-0.054092497020858554,0.900875291082277,,1.095066179497513,1.3658737390849123e-05,***,0.068823306515684,0.4182068606684818
(5) + linear time trend,1094,0.3220845518457568,0.49865862108801995,,1.2788032994588447,1.1960034161295399e-08,***,0.12337427537733009,0.4559366169806852
per-maturity 4-Week,273,0.7617383489432619,0.22389372886779946,,1.491237737969489,1.6789657393087356e-10,***,0.31769366328784115,0.7189468252707361
per-maturity 8-Week,273,0.35659162006449513,0.5617511402680346,,1.4395097518494675,2.56837458231761e-06,***,0.18951669931626428,0.42092700807639416
per-maturity 13-Week,274,-0.729406125545893,0.18143694995685355,,0.7541527330598679,0.008251487999780545,***,0.042519499781524105,0.1046845068050144
per-maturity 26-Week,274,-0.6329082625674005,0.19821961824060907,,0.2745495293854069,0.3297018782746074,,0.14977270870796036,0.15216822925626727
window=10d,1094,1.3942214693260788,0.060691219989094505,*,1.8511658156211692,6.527112207536649e-08,***,0.6066847972613579,0.43646176615572974
window=21d,1094,0.3220845518457568,0.49865862108801995,,1.2788032994588447,1.1960034161295399e-08,***,0.12337427537733009,0.4559366169806852
window=42d,1094,0.09946543480883957,0.7620678371967071,,0.8835293056792024,1.1293569985068783e-08,***,0.0874084912731868,0.49457915793036755
FALSIFICATION future-supply,1082,0.2735756838095548,0.4989962502898925,,1.5018661784771088,2.5732835950512407e-12,***,0.024540762995105953,0.4766606006017019
subsample: drop 2022 crisis year,886,-1.05972395021687,0.024395200821062862,**,1.3455420114689234,1.7419649081840376e-06,***,0.0002493855439530471,0.5285744282290072
subsample: post-2023 only,678,-0.7423547646549437,0.11435511036721892,,0.394812434719065,0.03141293059120182,**,0.015502670702819348,0.19701740986860294
