term,spec,n,beta_USDT,p_USDT,beta_USDC,p_USDC,wald_p
4-Week,A_orig_8ctrl,51,-1.1412160154835913,0.011633889074286849,0.44162930003347334,0.04793058539356303,0.0015319431171247936
4-Week,B_drop_theta_L,51,-1.1841512307927822,0.007871072074642204,0.4502458349150752,0.07113831311711588,0.0006190703594985304
4-Week,C_B_plus_offering,51,-0.8231393894596604,0.08385761659475019,0.6852049373995666,0.0005937521265148705,0.0009480338274966366
8-Week,A_orig_8ctrl,51,-1.5430586161676576,0.015589049934137983,0.1310110209604654,0.5161828271590113,0.006623690921385404
8-Week,B_drop_theta_L,51,-1.5897529354792557,0.00814052035947701,0.14122047724552972,0.526567668472169,0.0029264836935038933
8-Week,C_B_plus_offering,51,-1.2935814336754028,0.03240055285165581,0.3591703381373481,0.10319554850092444,0.004972449410299741
13-Week,A_orig_8ctrl,51,-1.469588081333554,0.0004014719237607093,0.3620160448237672,0.05618545001963468,3.8409537613053506e-05
13-Week,B_drop_theta_L,51,-1.3996975478505291,0.0015199435195034578,0.3448303794064909,0.1414631568439646,0.00025192182361357746
13-Week,C_B_plus_offering,51,-1.4298612894566807,0.0011985623646541834,0.18463566466171488,0.39923525267124316,8.671253264344853e-05
26-Week,A_orig_8ctrl,51,-1.682830366382671,6.407732955546572e-05,-0.01839998964976114,0.9216667719397742,0.00020149154931589934
26-Week,B_drop_theta_L,51,-1.671273864077488,6.91902965633661e-05,-0.020742333904865184,0.9160423801571256,0.00025884832750400303
26-Week,C_B_plus_offering,51,-1.6075136809834452,6.989546138448767e-05,-0.08498318001718308,0.598434428235413,0.00013734769507513884
