claim,term,n,bU,pU,bC,pC
3_offering_control,4-Week,51,-1.0256836849628452,0.02323757319933689,0.5185628774682368,0.041076036103607674
3_offering_control,8-Week,51,-1.7171180999755928,0.0026528450762118897,0.36743289121143174,0.11055301914326443
3_offering_control,13-Week,51,-1.441994221325902,0.0014823126367976695,0.3903459829633804,0.07341239621037578
3_offering_control,26-Week,51,-1.5823780576426283,0.0007353138422733349,-0.053482946261483366,0.7876354117895519
6a_supply_vix_only,4-Week,51,-0.2613155364026114,0.6278649197538337,0.8207920580299838,0.003605075957741126
6a_supply_vix_only,8-Week,51,-0.9082650823269127,0.10960202294155806,0.6872512734652176,0.002420320198518803
6a_supply_vix_only,13-Week,51,-0.7978564196636944,0.09404057742313174,0.6450363966493893,0.00626497619474299
6a_supply_vix_only,26-Week,51,-0.8170931194698481,0.06508018519435639,0.2491087305317825,0.23330337881947694
6b_remove_only_thetaL,4-Week,51,-1.1841512307927822,0.007871072074642204,0.4502458349150752,0.07113831311711588
6b_remove_only_thetaL,8-Week,51,-1.5897529354792557,0.00814052035947701,0.14122047724552972,0.526567668472169
6b_remove_only_thetaL,13-Week,51,-1.3996975478505291,0.0015199435195034578,0.3448303794064909,0.1414631568439646
6b_remove_only_thetaL,26-Week,51,-1.671273864077488,6.91902965633661e-05,-0.020742333904865184,0.9160423801571256
7_falsif_past,,1094,0.3177494032792706,0.5017567134230168,1.27750268578616,1.2050769514623199e-08
7_falsif_future,,1082,0.2656890885595164,0.507913505883129,1.5011381289892503,2.6439505457858037e-12
10_no_interp_plus_offering,4-Week,51,-0.605675494812284,0.28278294827146455,0.6063954378150602,0.002260657916367927
10_no_interp_plus_offering,8-Week,51,-1.3329672865750133,0.009793260040501192,0.4749208457409344,0.04038716899197142
10_no_interp_plus_offering,13-Week,51,-1.514719349279651,0.00240394526714938,0.3242751751012163,0.0991119973305073
10_no_interp_plus_offering,26-Week,51,-1.5349133363201326,0.0003466448605115319,-0.09150250048494812,0.5875392953868763
